eval_id,input_question,language,expected_behavior,expected_id
1,පොල් පැල සිටවිය යුත්තේ ඇයි?,si,Exact,277
2,පොල් වල ඇති විශේෂ දේ කුමක්ද?,si,Exact,279
3,පොල් ප්‍රභේද මොනවාද?,si,Exact,246
4,කුරුණෑගල පොල්වල විශේෂ දේ මොකක්ද?,si,Exact,241
5,පොල් කැඩීම මාස කීයකට වරක් කළ යුතුද?,si,Exact,210
6,ගුණාත්මක පැළයක් සොයා ගන්නේ කොහොමද?,si,Exact,21
7,කුරුණෑගල ප්‍රදේශයට ගැළපෙන පොහොර වර්ග මොනවාද?,si,Exact,14
8,රතු කුරුමිණියා මර්දනය කරන්නේ කොහොමද?,si,Exact,92
9,"මගේ පොල් ගහේ යට කොළවල සුදු පාටට පුළුන් වගේ තියෙනවා, මොකක්ද කරන්න ඕනේ?",si,Semantic,
10,"පොල් ගහේ කඳෙන් රතු පාටට දියරයක් වෑස්සෙනවා, මොකක්ද මේ ලෙඩේ?",si,Semantic,
11,"පොල් පැළේ කොළ මැදින් ""V"" අකුරේ හැඩයට කැපිලා, කවුද මේ සතා?",si,Semantic,
12,"පොල් ගෙඩි පොඩි කාලෙම හැලෙනවා, මේකට කරන්න දෙයක් තියෙනවාද?",si,Semantic,
13,"ගස්වල කොළ ඔක්කොම කහ පාට වෙලා, මේ පොහොර මදි නිසාද?",si,Semantic,
14,"වත්තට වල් ඌරෝ එනවා, පැළ ටික බේරගන්නේ කොහොමද?",si,Semantic,
15,පොල් වත්තට ලෙලි වැළලීමෙන් ඇත්තටම වාසියක් තියෙනවාද?,si,Semantic,
16,කුරුණෑගල පැත්තට හිටවන්න හොඳම පොල් වර්ගය මොකක්ද?,si,Semantic,
17,අලුතින් හිටවපු පැළ ටික දවසකින් මැරෙන්නේ ඇයි?,si,Semantic,
18,පොල් ගහක කරට්ටිය කුණු වෙලා යන්නේ මොකද?,si,Semantic,
19,"පොල් ගෙඩි ඇඹරිලා මතුපිට ඉරි තලලා, මොකක්ද මේ ලෙඩේ?",si,Semantic,
20,පොල් වගාව ගැන වැඩි විස්තර අහන්න කෝල් කරන්න ඕනේ කාටද?,si,Semantic,
21,ගහට මොකද වෙලා තියෙන්නේ?,si,Semantic,
22,පොල් ගහේ ලෙඩක් තියෙනවා.,si,Semantic,
23,ගහේ පාට වෙනස් වෙලා.,si,Semantic,
24,හොඳ ස්මාර්ට් ෆෝන් එකක් කියන්න.,si,fallback,none
25,හෙට කාලගුණය කොහොම වෙයිද?,si,fallback,none
26,குருத்து அழுகி துர்நாற்றம் வீசுகிறது. மரத்தைக் காப்பாற்ற முடியுமா?,ta,Exact,16
27,மண் பரிசோதனை செய்வதன் நன்மைகள் என்ன?,ta,Exact,18
28,இடைப்பயிர்களை (Intercrops) எவ்வாறு தெரிவு செய்வது?,ta,Exact,63
29,வெள்ளைப் பூச்சியைக் கட்டுப்படுத்துவது எப்படி?,ta,Exact,94
30,கருப்பு வண்டைக் கட்டுப்படுத்துவது எப்படி?,ta,Exact,96
31,கரையான் பாதிப்புகள் யாவை?,ta,Exact,105
32,தென்னந்தோப்பிற்கு டோலமைட் போடச் சொல்வது ஏன்?,ta,Exact,203
33,தென்னை மரத்தின் குருத்து சரிந்தால் என்ன நடக்கும்?,ta,Exact,73
34,"ஓலைகளுக்கு அடியில் வெள்ளை நிறத்தில் பஞ்சு போல இருக்கிறது, என்ன செய்வது?",ta,Semantic,
35,"தென்னை மரத்தின் தண்டிலிருந்து சிவப்பு நிறத்தில் திரவம் வடிகிறது, இது என்ன நோய்?",ta,Semantic,
36,"ஓலையின் நடுவில் V வடிவில் வெட்டுக்கள் உள்ளன, இதற்கு என்ன காரணம்?",ta,Semantic,
37,"தேங்காய்கள் சிறிய வயதிலேயே உதிர்ந்து விடுகின்றன, ஏன்?",ta,Semantic,
38,"மரத்தின் ஓலைகள் மஞ்சள் நிறமாகிவிட்டன, உரம் போதாதா?",ta,Semantic,
39,காட்டுப்பன்றிகளிடமிருந்து கன்றுகளைப் பாதுகாப்பது எப்படி?,ta,Semantic,
40,தென்னந்தோட்டத்தில் மட்டைகளைப் புதைப்பதன் பயன் என்ன?,ta,Semantic,
41,குறுணாகல் மாவட்டத்திற்கு ஏற்ற சிறந்த தென்னை வகை எது,ta,Semantic,
42,புதிதாக நட்ட கன்றுகள் இறப்பது ஏன்?,ta,Semantic,
43,தென்னை மரத்தின் மகுடம் அழுகுவது ஏன்?,ta,Semantic,
44,"தேங்காய்கள் சுருங்கி மேற்பரப்பில் வெடிப்புகள் காணப்படுகின்றன, இது என்ன நோய்?",ta,Semantic,
45,தென்னைச் செய்கை பற்றிய ஆலோசனைகளை எங்கே பெறலாம்?,ta,Semantic,
46,மரத்திற்கு என்ன நடந்தது?,ta,Semantic,
47,தென்னை மரத்தில் ஏதோ நோய்.,ta,Semantic,
48,மரத்தின் நிறம் மாறிவிட்டது.,ta,Semantic,
49,ஒரு நல்ல கைபேசியைப் பற்றிச் சொல்லுங்கள்.,ta,fallback,none
50,சோறு சமைப்பது எப்படி?,ta,fallback,none
